Site,Hemisphere,Season,Country,b_abs_lambda,MAC_lambda,f_mass_EC,Black_carbon_mass,Non_Black_carbon_mass,b_abs_BC@550,b_abs_BrC@550,location
PRFJ,northern,Autumn,Puerto Rico,7.53352232332148,1.6769160968824617,0.1646872751865158,0.0432800526907509,0.956719947309249,1.8846628456370411,5.648859477684439,"PRFJ, Puerto Rico"
PRFJ,northern,Spring,Puerto Rico,10.31907694985231,1.594811373061116,0.1829511633724778,0.0291137326062283,0.9708862673937716,2.9930473538457427,7.326029596006568,"PRFJ, Puerto Rico"
PRFJ,northern,Summer,Puerto Rico,9.020951859237124,1.326515414622824,0.1601432010123953,0.0272078435726212,0.9727921564273786,2.6722032102873894,6.348748648949735,"PRFJ, Puerto Rico"
PRFJ,northern,Winter,Puerto Rico,9.07469729946301,2.857042167489304,0.3205141147320713,0.2006883356479636,0.7993116643520364,2.5525449305453343,6.522152368917675,"PRFJ, Puerto Rico"
TWKA,northern,Autumn,Taiwan,19.82349599859158,1.2166655858381876,0.154060834409222,0.0108479862376017,0.9891520137623984,6.266262030967229,13.557233967624349,"TWKA, Taiwan"
TWKA,northern,Spring,Taiwan,18.431994444095317,1.5525909942719676,0.1989562178663646,0.022259337955334,0.977740662044666,5.888037497430386,12.543956946664927,"TWKA, Taiwan"
TWKA,northern,Summer,Taiwan,14.85604423503626,2.2481843363530905,0.2557338312950145,0.0436720815297556,0.9563279184702445,4.282953217356279,10.573091017679982,"TWKA, Taiwan"
TWKA,northern,Winter,Taiwan,20.56048897937627,0.9680690757673456,0.1191906632285874,0.0063479543890436,0.9936520456109564,6.343092080313409,14.21739689906286,"TWKA, Taiwan"
TWTA,northern,Autumn,Taiwan,14.097592895439432,2.352361349828461,0.2738212403220792,0.0599265715892147,0.9400734284107852,4.129892112441436,9.967700782998,"TWTA, Taiwan"
TWTA,northern,Spring,Taiwan,16.21566382016257,2.337276291385372,0.286735617048131,0.0780822793492985,0.9219177206507014,4.937669570737922,11.277994249424648,"TWTA, Taiwan"
TWTA,northern,Summer,Taiwan,17.261928695533314,2.404046222523522,0.3021672861170241,0.0475756347525388,0.9524243652474612,5.4154124608574365,11.846516234675878,"TWTA, Taiwan"
TWTA,northern,Winter,Taiwan,15.507149812068244,2.167677146260346,0.2449946532086393,0.0577052093533448,0.942294790646655,4.442410666841206,11.06473914522704,"TWTA, Taiwan"
USNO,northern,Autumn,USA,11.32596604185105,2.0049850540215477,0.1867567343212973,0.037114081761395,0.9628859182386048,2.7177592757443483,8.608206766106703,"USNO, USA"
USNO,northern,Spring,USA,12.72217695570528,2.1015625260328563,0.220712431150143,0.0364237214617918,0.963576278538208,3.335126266762164,9.387050688943113,"USNO, USA"
USNO,northern,Summer,USA,13.07401932694001,1.5120779814542995,0.1727236842381593,0.021384151838323,0.978615848161677,3.679376054817552,9.394643272122458,"USNO, USA"
USNO,northern,Winter,USA,9.37016072082797,2.346110780364341,0.2277372234673479,0.0578278684907284,0.9421721315092716,2.2565921523731305,7.11356856845484,"USNO, USA"
USPA,northern,Autumn,USA,12.305095940265614,2.4452822228905373,0.2700340879184035,0.0710623112905409,0.9289376887094588,3.402805740036716,8.902290200228899,"USPA, USA"
USPA,northern,Spring,USA,14.482979033635122,2.3310209214489306,0.2762108910973195,0.0520425567116869,0.947957443288313,4.288685650396692,10.19429338323843,"USPA, USA"
USPA,northern,Summer,USA,15.02523508844459,1.8668949442178544,0.2142285571531498,0.0280358518293571,0.9719641481706428,4.318951966487258,10.70628312195733,"USPA, USA"
USPA,northern,Winter,USA,13.031151612915536,3.911332704425492,0.4457757238169351,0.1676121832475694,0.8323878167524305,3.728096363382475,9.30305524953306,"USPA, USA"
ZAJB,southern,Autumn,South Africa,32.22559140527827,1.8302013506065,0.2420482683823624,0.0152287034324519,0.984771296567548,10.627034204420116,21.59855720085816,"ZAJB, South Africa"
ZAJB,southern,Spring,South Africa,30.25249672593776,1.9602281865598337,0.2407617029240679,0.0181315450019862,0.9818684549980136,9.40526004756389,20.84723667837387,"ZAJB, South Africa"
ZAJB,southern,Summer,South Africa,20.09360551017733,1.885027586266748,0.2330043241417809,0.0244781694774852,0.9755218305225146,6.244963440845607,13.848642069331724,"ZAJB, South Africa"
ZAJB,southern,Winter,South Africa,32.14720830533668,1.7102586956571566,0.2210340251862206,0.0135343854189335,0.9864656145810664,10.487820805807477,21.65938749952921,"ZAJB, South Africa"
ZAPR,southern,Autumn,South Africa,34.85042613889659,2.2493333961141837,0.2881572324728046,0.0263983679290886,0.9736016320709112,11.12856243550813,23.721863703388458,"ZAPR, South Africa"
ZAPR,southern,Spring,South Africa,25.49163964609688,1.8944496289927844,0.2404475979899986,0.0221013015774547,0.9778986984225452,8.198777936698587,17.2928617093983,"ZAPR, South Africa"
ZAPR,southern,Summer,South Africa,20.546602611035645,2.192125974283197,0.2716123623343039,0.039221721454634,0.960778278545366,6.450058252843665,14.096544358191975,"ZAPR, South Africa"
ZAPR,southern,Winter,South Africa,36.77459004290317,1.912728367674497,0.2532305386314883,0.0158625739968445,0.9841374260031556,12.32303064778416,24.451559395119013,"ZAPR, South Africa"
